date,meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,token_id,first_probability,last_probability,mean_probability,min_probability,max_probability,number_of_observations,source_endpoint_type,days_to_meeting
2026-01-23,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,113,trades_fallback,5
2026-01-24,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,426,trades_fallback,4
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.0013461771797007476,0.001,0.002,214,trades_fallback,3
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,121,trades_fallback,3
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.0021725630158893547,0.001,0.0296318961979,403,trades_fallback,2
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.002,0.0015258333665251536,0.001,0.003000000003,293,trades_fallback,2
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.0015778630313676649,0.001,0.0781882977341,561,trades_fallback,1
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.002,0.0017953045389827536,0.001,0.00387565522171,730,trades_fallback,1
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.004,0.004,0.003902439024390244,0.003,0.004,164,trades_fallback,1
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,Yes,no_change,112838095111461683880944516726938163688341306245473734071798778736646352193304,0.996,0.999,0.996224647910191,0.993,0.999,3124,trades_fallback,0
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.001,0.001,0.001,487,trades_fallback,0
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.001,0.0013883076724391366,0.001,0.002,915,trades_fallback,0
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.004,0.001,0.003539400636633765,0.001,0.01032,1891,trades_fallback,0
2026-05-27,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,11019686559003253359318459636510036787281809199165975947920974072245914352862,0.0025,0.0025,0.0025,0.0025,0.0025,475,prices_history,21
2026-05-27,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,110884561568299698460551977852169332756450294345019257864587852438060900499251,0.0065,0.0055,0.005536842105263158,0.0055,0.0065,475,prices_history,21
2026-05-27,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,30767812841387255642892182147223249245545002662653079696958384408588201824258,0.9745,0.9745,0.9745,0.9745,0.9745,475,prices_history,21
2026-05-27,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,54688507565884542490190759171719899637342914252863057837926715255559077706253,0.0065,0.0065,0.0065,0.0065,0.0065,475,prices_history,21
2026-05-27,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,65193234666628291664907888364936366210889305490897648116746073820519263548476,0.0145,0.0135,0.014390526315789473,0.0135,0.0155,475,prices_history,21
2026-05-28,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,11019686559003253359318459636510036787281809199165975947920974072245914352862,0.0025,0.0025,0.0025,0.0025,0.0025,966,prices_history,20
2026-05-28,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,110884561568299698460551977852169332756450294345019257864587852438060900499251,0.0055,0.0055,0.006385610766045548,0.0055,0.009,966,prices_history,20
2026-05-28,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,30767812841387255642892182147223249245545002662653079696958384408588201824258,0.9745,0.9755,0.9747494824016564,0.9735,0.9765,966,prices_history,20
2026-05-28,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,54688507565884542490190759171719899637342914252863057837926715255559077706253,0.0065,0.0055,0.006409937888198758,0.0055,0.0065,966,prices_history,20
2026-05-28,2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,65193234666628291664907888364936366210889305490897648116746073820519263548476,0.0135,0.0115,0.012773809523809524,0.0115,0.0165,966,prices_history,20
