case,meeting_month,outcome_label,num_observations,first_date,last_date,source_type,chart_series
fed_dec_to_apr,2025-12,25_bps_cut,1,2025-12-10,2025-12-10,trades_fallback,daily_last_probability
fed_dec_to_apr,2025-12,25_plus_bps_hike,5,2025-12-06,2025-12-10,trades_fallback,daily_last_probability
fed_dec_to_apr,2025-12,50_plus_bps_cut,1,2025-12-10,2025-12-10,trades_fallback,daily_last_probability
fed_dec_to_apr,2025-12,no_change,2,2025-12-09,2025-12-10,trades_fallback,daily_last_probability
fed_dec_to_apr,2025-12,other,9,2025-12-06,2025-12-10,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-01,25_bps_cut,2,2026-01-27,2026-01-28,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-01,25_plus_bps_hike,6,2026-01-23,2026-01-28,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-01,50_plus_bps_cut,4,2026-01-25,2026-01-28,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-01,no_change,1,2026-01-28,2026-01-28,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-01,other,13,2026-01-23,2026-01-28,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-03,25_bps_cut,4,2025-03-16,2025-03-19,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-03,25_plus_bps_hike,9,2025-03-11,2025-03-19,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-03,50_plus_bps_cut,6,2025-03-14,2025-03-19,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-03,no_change,3,2025-03-17,2025-03-19,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-03,other,22,2025-03-11,2025-03-19,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-04,25_bps_cut,10,2026-04-20,2026-04-29,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-04,25_plus_bps_hike,10,2026-04-20,2026-04-29,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-04,50_plus_bps_cut,11,2026-04-19,2026-04-29,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-04,no_change,4,2026-04-26,2026-04-29,trades_fallback,daily_last_probability
fed_dec_to_apr,2026-04,other,35,2026-04-19,2026-04-29,trades_fallback,daily_last_probability
fed_snapshot,2025-12,T-1,4,,,trades_fallback,snapshot
fed_snapshot,2025-12,T-3,2,,,trades_fallback,snapshot
fed_snapshot,2025-12,final_available,8,,,trades_fallback,snapshot
fed_snapshot,2026-01,T-1,6,,,trades_fallback,snapshot
fed_snapshot,2026-01,T-3,4,,,trades_fallback,snapshot
fed_snapshot,2026-01,final_available,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,T-1,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,T-14,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,T-3,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,T-30,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,T-7,8,,,trades_fallback,snapshot
fed_snapshot,2026-03,final_available,8,,,trades_fallback,snapshot
fed_snapshot,2026-04,T-1,8,,,trades_fallback,snapshot
fed_snapshot,2026-04,T-3,8,,,trades_fallback,snapshot
fed_snapshot,2026-04,T-7,6,,,trades_fallback,snapshot
fed_snapshot,2026-04,final_available,8,,,trades_fallback,snapshot
anthropic_valuation,,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (HIGH) $1.75T by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (LOW) $750B by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (LOW) $800B by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (LOW) $850B by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
anthropic_valuation,,Will Anthropic’s valuation hit (LOW) $875B by June 30?,4,2026-05-27,2026-05-28,prices_history,daily_last_probability
